Accession,Description,Genome Length (KB),molGC (%),Genus,Sub-family,Family,Host,Genome composition,Phage Species
FN436268,Acaryochloris phage A-HIS1,56,47,Unclassified,Unclassified,Unclassified,Acaryochloris,dsDNA,vOTU_2671
PP197248,Acetoanaerobium phage ANDSL2_ph1,36,32,Unclassified,Unclassified,Unclassified,Acetoanaerobium,dsDNA,vOTU_7187
LC644973,Acetobacter phage phiAX1,51,56,Unclassified,Unclassified,Unclassified,Acetobacter,dsDNA,vOTU_3285
LC644972,Acetobacter phage phiAP1,43,52,Unclassified,Unclassified,Unclassified,Acetobacter,dsDNA,vOTU_5176
LC644971,Acetobacter phage phiAO1,34,61,Unclassified,Unclassified,Unclassified,Acetobacter,dsDNA,vOTU_7406
NC_001341,Acholeplasma phage MV-L51,4,33,Plectrovirus,Unclassified,Plectroviridae,Acholeplasma,ssDNA,vOTU_10424
X58839,Acholeplasma phage MV-L51,4,33,Plectrovirus,Unclassified,Plectroviridae,Acholeplasma,ssDNA,vOTU_10424
MN094788,Achromobacter phage Motura,221,54,Moturavirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_0198
NC_049849,Achromobacter phage Motura,221,54,Moturavirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_0198
MH746817,Achromobacter phage vB_Ade_ART,95,55,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
OQ974181,Achromobacter phage 2-1,83,59,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1401
KP202971,Achromobacter phage JWF,82,60,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1417
NC_029075,Achromobacter phage JWF,82,60,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1417
MK962641,Achromobacter phage vB_AxyP_19-32_Axy24,75,55,Dongdastvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1606
NC_054969,Achromobacter phage vB_AxyP_19-32_Axy24,75,55,Dongdastvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1606
KF787094,Achromobacter phage JWDelta,74,54,Jwalphavirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1627
MK962626,Achromobacter phage vB_AxyP_19-32_Axy04,74,55,Dongdastvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1606
MK962629,Achromobacter phage vB_AxyP_19-32_Axy10,74,54,Pourcelvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1622
MK962631,Achromobacter phage vB_AxyP_19-32_Axy12,74,55,Dongdastvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1606
NC_054967,Achromobacter phage vB_AxyP_19-32_Axy04,74,55,Dongdastvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1606
NC_054968,Achromobacter phage vB_AxyP_19-32_Axy12,74,55,Dongdastvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1606
NC_054971,Achromobacter phage vB_AxyP_19-32_Axy10,74,54,Pourcelvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1622
KT321317,Achromobacter phage phiAxp-3,73,55,Dongdastvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1606
MK962630,Achromobacter phage vB_AxyP_19-32_Axy11,73,54,Pourcelvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1622
NC_028908,Achromobacter phage phiAxp-3,73,55,Dongdastvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1606
NC_054972,Achromobacter phage vB_AxyP_19-32_Axy11,73,54,Pourcelvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1622
KF787095,Achromobacter phage JWAlpha,72,54,Jwalphavirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1627
MK962639,Achromobacter phage vB_AxyP_19-32_Axy22,72,54,Pourcelvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1622
NC_023556,Achromobacter phage JWAlpha,72,54,Jwalphavirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1627
MK962632,Achromobacter phage vB_AxyP_19-32_Axy13,70,56,Inbricusvirus,Rothmandenesvirinae,Schitoviridae,Achromobacter,dsDNA,vOTU_1737
KT321316,Achromobacter phage phiAxp-2,62,60,Fengtaivirus,Unclassified,Casjensviridae,Achromobacter,dsDNA,vOTU_2025
NC_029106,Achromobacter phage phiAxp-2,62,60,Fengtaivirus,Unclassified,Casjensviridae,Achromobacter,dsDNA,vOTU_2025
OK041469,Achromobacter phage AXY1,62,60,Fengtaivirus,Unclassified,Casjensviridae,Achromobacter,dsDNA,vOTU_2044
MW269554,Achromobacter phage vB_AchrS_AchV4,59,63,Gediminasvirus,Unclassified,Casjensviridae,Achromobacter,dsDNA,vOTU_2277
NC_052974,Achromobacter phage vB_AchrS_AchV4,59,63,Gediminasvirus,Unclassified,Casjensviridae,Achromobacter,dsDNA,vOTU_2277
OQ817832,Achromobacter phage CF418P1,58,66,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_2450
OQ817842,Achromobacter phage ewik_TL4,51,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
KP202969,Achromobacter phage JWX,50,55,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_3459
NC_028768,Achromobacter phage JWX,50,55,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_3459
KP202970,Achromobacter phage 83-24,48,55,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_3716
NC_028834,Achromobacter phage 83-24,48,55,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_3716
MK962633,Achromobacter phage vB_AxyS_19-32_Axy14,47,55,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_3961
OR396896,Achromobacter phage tuull,47,53,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
MK962627,Achromobacter phage vB_AxyS_19-32_Axy06,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
MK962634,Achromobacter phage vB_AxyS_19-32_Axy16,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
MT241605,Achromobacter phage AMA1,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
MT241607,Achromobacter phage AMA2,46,54,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_4109
MK962635,Achromobacter phage vB_AxyS_19-32_Axy18,46,56,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_4018
MK962636,Achromobacter phage vB_AxyS_19-32_Axy19,46,56,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_4018
MK962637,Achromobacter phage vB_AxyS_19-32_Axy20,46,56,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_4018
OQ817833,Achromobacter phage ehaak_LB5,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
OQ817834,Achromobacter phage emuu_LB7,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
OQ817836,Achromobacter phage kuwaak_TL2,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
OQ817838,Achromobacter phage maay_LB1,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
OQ817839,Achromobacter phage nyaak_TL1,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
OQ817843,Achromobacter phage hasilly_LB3,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
OQ817844,Achromobacter phage SE2,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_4159
OQ938574,Achromobacter phage JWT,46,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_3459
OQ817840,Achromobacter phage nyashin_LB6,46,56,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_4091
KP313532,Achromobacter phage phiAxp-1,45,56,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_4018
NC_029033,Achromobacter phage phiAxp-1,45,56,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_4018
OQ817841,Achromobacter phage shaaii_LB5,45,56,Unclassified,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_4018
MK962640,Achromobacter phage vB_AxyP_19-32_Axy23,44,65,Unclassified,Krylovirinae,Autographiviridae,Achromobacter,dsDNA,vOTU_4791
MK962628,Achromobacter phage vB_AxyP_19-32_Axy09,43,64,Unclassified,Krylovirinae,Autographiviridae,Achromobacter,dsDNA,vOTU_4791
MK962638,Achromobacter phage vB_AxyP_19-32_Axy21,43,64,Unclassified,Krylovirinae,Autographiviridae,Achromobacter,dsDNA,vOTU_5093
OQ817835,Achromobacter phage ewii_LB8,43,56,Steinhofvirus,Unclassified,Unclassified,Achromobacter,dsDNA,vOTU_1170
